original,original_token_count,compressed,compressed_token_count,uncompressed_alt_one,uncompressed_alt_two
When did Virgin Australia start operating?,7,When did Virgin Australia start operating,6,,
Which is a species of fish? Tope or Rope,13,Which is a species of fish Tope or Rope,12,,
Why can camels survive for long without water?,11,Why can camels survive long without water,9,,
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",26,"Alice's parents have three daughters: Amy, Jessy, what's the name of the third daughter",24,,
When was Tomoaki Komorida born?,11,When was Tomoaki Komorida born,10,,
"If I have more pieces at the time of stalemate, have I won?",18,"If I have more pieces at stalemate, have I won",14,,
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",26,Reference text about Lollapalooza where does it take place who started it and what is it,20,,
Who gave the UN the land in NY to build their HQ,13,Who gave UN land in NY to build HQ,10,,
Why mobile is bad for human,6,Why mobile is bad for humans,6,,
Who was John Moses Browning?,7,Who was John Moses Browning,6,,
Who is Thomas Jefferson?,5,Who is Thomas Jefferson,4,,
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,22,Who was Kyle Van Zyl playing against when he scored 36 of his teams 61 points,20,,
From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,34,From the passage list areas where Dar es Salaam is Tanzania's most prominent city list results comma separated,26,,
What is a polygon?,7,What is a polygon,6,,
How do I start running?,6,How do I start running,5,,
Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,16,Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,16,,
What is process mining?,5,What is process mining,4,,
What are some unique curtain tie backs that you can make yourself?,14,What are some unique curtain tie backs that you can make yourself,13,,
What is a dispersive prism?,10,What is a dispersive prism,9,,
"Identify which instrument is string or percussion: Cantaro, Gudok",17,Identify which instrument is string or percussion Cantaro Gudok,15,,
Give me the top 5 golf equipment company names.,10,Give me top 5 golf equipment company names,8,,
What individual has won the most Olympic gold medals in the history of the games?,17,Who has won the most Olympic gold medals,9,,
Which Dutch artist painted “Girl with a Pearl Earring”?,18,Which Dutch artist painted Girl with a Pearl Earring,12,,
What happens when the sun goes down?,8,What happens when the sun goes down,7,,
What is a verb?,6,What is verb,3,,
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,33,Extract owner of Lamborghini and listing of different types of Huracan cars Lamborghini has produced for its Motorsport division,27,,
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",46,"Which of these are useful for transportation: glass of wine, lamp, train, iced cube tray, plane, bicycle, apple, scooter",30,,
"Identify which instrument is string or woodwind: Panduri, Zurna",17,Identify whether Panduri or Zurna string or woodwind,14,,
What is the average lifespan of a Golden Retriever?,12,What is the average lifespan of a Golden Retriever,11,,
Who became king of Holland in 1806?,10,Who became king of Holland in 1806,9,,
What is best Playstation or Xbox,7,What is best PlayStation or Xbox,6,,
Who played Billy the Kid in The Left Handed Gun,12,Who played Billy the Kid in The Left Handed Gun,12,,
why did Syd Barrett left the Pink Floyd?,10,why did Syd Barrett leave Pink Floyd,8,,
what is REST API,5,What is REST API,5,,
What is underwriting?,5,What is underwriting,4,,
Give me a list of some characteristics of a good coffee shop?,15,List characteristics of a good coffee shop,8,,
