"original","compression","original_token_count","compression_token_count","compression_ratio","rouge_1","rouge_2","rouge_l"
"When did Virgin Australia start operating?","When did Virgin Australia start operating?","7","7","1.0","1.0","1.0","1.0"
"Which is a species of fish? Tope or Rope","Which is a species of fish? Tope or Rope","11","11","1.0","1.0","1.0","1.0"
"Why can camels survive for long without water?","Why can camels survive long without water?","10","9","0.9","0.9333","0.7692","0.9333"
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?","Alice's parents have three daughters: Amy, Jessy, who is the third?","22","17","0.77","0.6897","0.5926","0.6897"
"When was Tomoaki Komorida born?","When was Tomoaki Komorida born?","10","10","1.0","1.0","1.0","1.0"
"If I have more pieces at the time of stalemate, have I won?","If I have more pieces at stalemate, do I win?","16","13","0.81","0.6957","0.4762","0.6957"
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?","From a Lollapalooza reference text: where held, who started, what is it?","25","20","0.8","0.6667","0.2857","0.6"
"Who gave the UN the land in NY to build their HQ","Who donated land for the UN HQ in NYC?","12","10","0.83","0.5714","0.1053","0.381"
"Why mobile is bad for human","Why mobile harms humans?","6","5","0.83","0.6","0.25","0.6"
"Who was John Moses Browning?","Who was John Moses Browning?","7","7","1.0","1.0","1.0","1.0"
"Who is Thomas Jefferson?","Who is Thomas Jefferson?","5","5","1.0","1.0","1.0","1.0"
"Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?","Against whom did Kyle Van Zyl score 36 of his team's 61 points?","21","17","0.81","0.6667","0.3571","0.6"
"From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.","From the passage, list areas where Dar es Salaam is Tanzania's most prominent city, comma-separated.","27","20","0.74","0.7619","0.6","0.7619"
"What is a polygon?","Define polygon.","5","3","0.6","0.3333","0.0","0.3333"
"How do I start running?","How to start running?","6","5","0.83","0.6667","0.2857","0.6667"
"Which episodes of season four of Game of Thrones did Michelle MacLaren direct?","Which Season 4 GOT episodes did Michelle MacLaren direct?","15","12","0.8","0.6364","0.3","0.5455"
"What is process mining?","Process mining?","5","3","0.6","0.6667","0.5","0.6667"
"What are some unique curtain tie backs that you can make yourself?","Unique DIY curtain tie backs?","13","6","0.46","0.4706","0.2667","0.4706"
"What is a dispersive prism?","Dispersive prism definition.","7","6","0.86","0.5","0.3333","0.5"
"Identify which instrument is string or percussion: Cantaro, Gudok","Cantaro, Gudok: string or percussion?","13","10","0.77","0.7143","0.5","0.4286"
"Give me the top 5 golf equipment company names.","Top 5 golf-equipment company names","11","8","0.73","0.8","0.7692","0.8"
"What individual has won the most Olympic gold medals in the history of the games?","Who has the most Olympic gold medals in Olympic history?","16","11","0.69","0.64","0.4348","0.64"
"Which Dutch artist painted “Girl with a Pearl Earring”?","Which Dutch artist painted “Girl with a Pearl Earring”?","12","12","1.0","1.0","1.0","1.0"
"What happens when the sun goes down?","What happens at sunset?","8","5","0.62","0.3636","0.2222","0.3636"
"What is a verb?","Verb?","5","2","0.4","0.4","0.0","0.4"
"Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.","Owner of Lamborghini; list Huracan variants produced for Lamborghini Motorsport.","25","13","0.52","0.5455","0.1935","0.4848"
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.","Which items are useful for transportation: glass of wine, lamp, train, ice cube tray, plane, bicycle, apple, scooter?","37","27","0.73","0.6809","0.2667","0.6809"
"Identify which instrument is string or woodwind: Panduri, Zurna","Panduri, Zurna: string or woodwind?","14","11","0.79","0.7143","0.5","0.4286"
"What is the average lifespan of a Golden Retriever?","Golden Retriever average lifespan?","10","5","0.5","0.6154","0.3636","0.3077"
"Who became king of Holland in 1806?","1806 Holland king?","10","5","0.5","0.6","0.0","0.2"
"What is best Playstation or Xbox","What is best Playstation or Xbox","6","6","1.0","1.0","1.0","1.0"
"Who played Billy the Kid in The Left Handed Gun","The Left Handed Gun Billy the Kid actor?","11","10","0.91","0.7778","0.625","0.4444"
"why did Syd Barrett left the Pink Floyd?","Why did Syd Barrett leave Pink Floyd?","9","8","0.89","0.8","0.6154","0.8"
"what is REST API","REST API?","4","3","0.75","0.6667","0.5","0.6667"
"What is underwriting?","What is underwriting?","4","4","1.0","1.0","1.0","1.0"
"Give me a list of some characteristics of a good coffee shop?","List some characteristics of a good coffee shop?","13","9","0.69","0.8","0.6667","0.8"
"Please summarize what Linkedin does.","Please summarize what Linkedin does.","6","6","1.0","1.0","1.0","1.0"
"Who saved Andromeda from the sea monster","Who saved Andromeda from the sea monster","9","9","1.0","1.0","1.0","1.0"
"How can I contribute to Spark?","How to contribute to Spark?","7","6","0.86","0.7273","0.4444","0.7273"
"Who are ''The Lumières"" ?","Who are The Lumières?","8","6","0.75","1.0","1.0","1.0"
"Using examples taken from the text give me a summary of the main arguments in favour of slavery reparations in the United States and the anticipated cost of enacting such reparations","From the text, summarize main arguments for U.S. slavery reparations and the estimated cost, using examples.","34","22","0.65","0.5","0.2609","0.4167"
"When was the wheel invented?","Wheel invention date?","6","4","0.67","0.5","0.3333","0.5"
"write a scene between two actors discussing movie Inception","Write scene between two actors discussing Inception.","10","9","0.9","0.875","0.5714","0.875"
