original,original_token_count,compressed,compressed_token_count
"Name some female characters from ""The X-Files.""",13,List female X-Files characters,8
"Hello, my family and I recently went to the zoo and saw a number of animals.  Please identify the animals in this summary and organize them in order of size.  My son's favorite animal is an elephant, and he saw an elephant in the grassland.  My wife caught a parakeet trying to eat our popcorn.  My daughter was scared by lion that she saw on the prairie.  I missed all of these animals and only saw a boa constrictor in an a cage.",111,"Identify animals mentioned in this summary and sort by size: elephant (son's favorite; seen in grassland), parakeet (wife observed trying to eat popcorn), lion (daughter scared; seen on prairie), boa constrictor (saw in cage; I missed all others)",65
Classify these as a synthetic or natural fiber,10,Classify these as synthetic or natural fiber,8
What criteria should I be looking at when buying a new motorcycle?,14,Criteria for buying new motorcycle,6
Extract the most commonly used term to describe bitcoin and simplify it in one sentence,15,Identify bitcoin's most common descriptor and present it in one sentence,16
"How do Nietzsche and Haraway critique the concept of scientific knowledge and its pursuit of objectivity? How do they use the ideas of ""the god-trick"" and ""pride"" to explain the faults in scientific discoveries?",49,Nietzsche & Haraway critique scientific knowledge and objectivity; how do they use 'god-trick' and 'pride' to expose faults in science,38
Why do people like to play Path of Exile?,11,Why do players enjoy Path of Exile,8
"In the following passage about mechanical-switch keyboards, which keyboards are the loudest, and how can I make them quieter?",30,"Mechanical-switch keyboard passage: loudest keyboards, how to quiet them",17
"How did Andy Warhol create the ""piss paintings""?",14,"How did Andy Warhol create ""piss paintings""",12
"given the plot of 1985 hit Back to the future, how could Marty McFly have avoided having to reconcile his mother and father in order to save his life?",35,"Back to Future (1985), how could Marty McFly have avoided reconciling his parents to save his life",23
"I am working on a blog post on the effect of Snapchat on teenagers.  Can you help me think of a few titles for the post?  For background, I think Snapchat has a negative effect on our teenagers ability to focus, maintain healthy in-person relationships, and develop into productive adults.",63,"Blog post on Snapchat's effects on teenagers; propose few titles. Background: negative impact on teenagers' focus, in-person relationships, and development into productive adults",35
Extract the names of the cities and rank them in alphabetical order?,14,Extract city names and sort alphabetically,7
"Given a reference text about bull sharks, tell me the gestation period for bull sharks.",21,Bull shark gestation period (from reference text),10
List a few queer books made popular by TikTok,14,List few queer books made popular by TikTok,12
"Given the referenced text, what Roman Emperor gave Roman Citizenship to all free men?",18,"Given referenced text, what Roman Emperor gave Roman Citizenship to all free men",16
Who is the finest Indian cricketer right now?,10,Who is India's best cricketer right now,10
When was Genghis Khan born?,8,Genghis Khan birthdate?,7
What is Barkers Butts RFC?,10,Barkers Butts RFC?,8
How many seasons is Deadwood?,7,Deadwood seasons?,4
Where did Waldo E. Koop work?,10,Waldo E. Koop: employer,8
What is social media?,5,Social media definition?,4
Which is the best tube line?,7,Best Tube line?,4
"Given this paragraph about a specific breed of scorpion, where can the coastal burrowing scorpion be found?",24,"From this paragraph about scorpion breed, where is coastal burrowing scorpion found",17
"Give me a list of the top ten movies, according to IMDb ratings.",19,Top 10 IMDb-rated movies,8
List 10 best switch games of all time.,9,List 10 best switch games ever,6
Give me a bulleted list of the 5 highest mountains in the world and their respective heights in meters,23,Bulleted list: 5 highest mountains and their heights (m),15
Should superheroes be allowed to break the law?,11,Should superheroes be allowed to break law,9
Best place to visit in West bengal,9,Best place to visit in West Bengal,7
What year was the movie Big Trouble in Little China released?,12,Big Trouble in Little China release year,7
What is the largest state by land size in the United States of America?,15,Largest U.S. state by land area,11
Which USA government agency is responsible for preventing diseases?,11,Which US government agency prevents diseases,7
What is a cashless option exercise?,9,Cashless option exercise definition,5
Extract the special guests that Taylor Swift had on her 1989 Tour in 2015. Separate them with a comma.,25,"List Taylor Swift 1989 Tour 2015 special guests, comma-separated",18
"What are the India’s Foreign Exchange Reserves as on week ended Sept 23, 2022?",19,"What are India's FX reserves as of week ended Sept 23, 2022",16
What do you wish you had spent more time doing when you were younger?,15,What would you have spent more time doing in youth,10
Why does a boat float on water whereas some other objects sink?,16,Why do boats float while some objects sink,9
"Which characters belong to DC or Marvel Universe? Hawkeye, Green Arrow",14,"DC or Marvel characters: Hawkeye, Green Arrow",10
What is this text about?,6,Text topic?,3
"Tell me whether these are movies or film Directors: Sholay, Satyajit Ray, Mani Ratnam, Lagaan, Yash Chopra, Roja",36,"Movies or directors: Sholay, Satyajit Ray, Mani Ratnam, Lagaan, Yash Chopra, Roja",31
Why Cancun is famous,6,Why Cancun is famous,6
What kind of method is Transfer printing,7,What method is Transfer printing,5
How many planets orbit the sun?,8,How many planets orbit sun,6
From the following passage extract information on how dates were used in the Fertile Crescent.,17,"From passage, extract how dates were used in Fertile Crescent",12
