original,original_token_count
When did Virgin Australia start operating?,7
Which is a species of fish? Tope or Rope,11
Why can camels survive for long without water?,10
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",22
When was Tomoaki Komorida born?,10
"If I have more pieces at the time of stalemate, have I won?",16
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",25
Who gave the UN the land in NY to build their HQ,12
Why mobile is bad for human,6
Who was John Moses Browning?,7
Who is Thomas Jefferson?,5
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,21
From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,27
What is a polygon?,5
How do I start running?,6
Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,15
What is process mining?,5
What are some unique curtain tie backs that you can make yourself?,13
What is a dispersive prism?,7
"Identify which instrument is string or percussion: Cantaro, Gudok",13
Give me the top 5 golf equipment company names.,11
What individual has won the most Olympic gold medals in the history of the games?,16
Which Dutch artist painted “Girl with a Pearl Earring”?,12
What happens when the sun goes down?,8
What is a verb?,5
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,25
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",37
"Identify which instrument is string or woodwind: Panduri, Zurna",14
What is the average lifespan of a Golden Retriever?,10
Who became king of Holland in 1806?,10
What is best Playstation or Xbox,6
Who played Billy the Kid in The Left Handed Gun,11
why did Syd Barrett left the Pink Floyd?,9
what is REST API,4
What is underwriting?,4
Give me a list of some characteristics of a good coffee shop?,13
Please summarize what Linkedin does.,6
Who saved Andromeda from the sea monster,9
How can I contribute to Spark?,7
"Who are ''The Lumières"" ?",8
Using examples taken from the text give me a summary of the main arguments in favour of slavery reparations in the United States and the anticipated cost of enacting such reparations,34
When was the wheel invented?,6
write a scene between two actors discussing movie Inception,10
Did dinosaurs have lips?,5
Are lilies safe for cats?,6
What is Sunshine Recession?,6
What is the currency in use in the Netherlands?,10
What is the best tv series in the world,9
Who was the first to record the Needles and Pins song?,13
Provide me a list of the different types of harnesses used in rock climbing,15
Think of some family rules to promote a healthy family relationship,11
"In the series A Song of Ice and Fire, who is the founder of House Karstark?",20
What is enriched air and why would divers dive with enriched air?,13
What film won the 1943 Oscar as best film,11
"which weighs more, cold or hot water?",9
"Given this paragraph, what is the top speed of a Kia Stinger?",15
Write a short paragraph about why you should not have both a pet cat and a pet bird.,19
What is your favorite strip from the comic Calvin and Hobbes?,13
What makes a formula one car so fast?,9
Without quoting directly from the text give me a summary of the history of the Key Lime Pie.,19
What is LAPR?,5
Is beauty objective or subjective?,6
"Identify which instrument is string or percussion: Kpanlogo, Shamisen",14
Why do potato chip bags become stale after opening?,10
Classify each of the following as a primary color or a secondary color,14
Where are the British Virgin Islands (BVI) and which islands are a part of the BVI?,21
"Does ""outbreeding"" or ""inbreeding"" benefit the offspring more?",17
What is the future for human?,7
Name some of the bravolebrities from Vanderpump Rules,11
Name some famous rock bands from the 1960s,11
Who is Muhammad Ejaz Shafi,7
Who invented the telephone?,5
Who are the Smiths?,6
