"original","summarization","original_token_count","compression_token_count","compression_ratio"
"When did Virgin Australia start operating?","When did Virgin Australia start operating?","7","7","1.0"
"Which is a species of fish? Tope or Rope","Which is a species of fish? Tope or Rope","11","11","1.0"
"Why can camels survive for long without water?","Why can camels survive long without water?","10","9","0.9"
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?","Alice's parents have three daughters: Amy, Jessy, who is the third?","22","17","0.77"
"When was Tomoaki Komorida born?","When was Tomoaki Komorida born?","10","10","1.0"
"If I have more pieces at the time of stalemate, have I won?","If I have more pieces at stalemate, do I win?","16","13","0.81"
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?","From a Lollapalooza reference text: where held, who started, what is it?","25","20","0.8"
"Who gave the UN the land in NY to build their HQ","Who donated land for the UN HQ in NYC?","12","10","0.83"
"Why mobile is bad for human","Why mobile harms humans?","6","5","0.83"
"Who was John Moses Browning?","Who was John Moses Browning?","7","7","1.0"
"Who is Thomas Jefferson?","Who is Thomas Jefferson?","5","5","1.0"
"Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?","Against whom did Kyle Van Zyl score 36 of his team's 61 points?","21","17","0.81"
"From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.","From the passage, list areas where Dar es Salaam is Tanzania's most prominent city, comma-separated.","27","20","0.74"
"What is a polygon?","Define polygon.","5","3","0.6"
"How do I start running?","How to start running?","6","5","0.83"
"Which episodes of season four of Game of Thrones did Michelle MacLaren direct?","Which Season 4 GOT episodes did Michelle MacLaren direct?","15","12","0.8"
"What is process mining?","Process mining?","5","3","0.6"
"What are some unique curtain tie backs that you can make yourself?","Unique DIY curtain tie backs?","13","6","0.46"
"What is a dispersive prism?","Dispersive prism definition.","7","6","0.86"
"Identify which instrument is string or percussion: Cantaro, Gudok","Cantaro, Gudok: string or percussion?","13","10","0.77"
"Give me the top 5 golf equipment company names.","Top 5 golf-equipment company names","11","8","0.73"
"What individual has won the most Olympic gold medals in the history of the games?","Who has the most Olympic gold medals in Olympic history?","16","11","0.69"
"Which Dutch artist painted “Girl with a Pearl Earring”?","Which Dutch artist painted “Girl with a Pearl Earring”?","12","12","1.0"
"What happens when the sun goes down?","What happens at sunset?","8","5","0.62"
"What is a verb?","Verb?","5","2","0.4"
"Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.","Owner of Lamborghini; list Huracan variants produced for Lamborghini Motorsport.","25","13","0.52"
"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.","Which items are useful for transportation: glass of wine, lamp, train, ice cube tray, plane, bicycle, apple, scooter?","37","27","0.73"
"Identify which instrument is string or woodwind: Panduri, Zurna","Panduri, Zurna: string or woodwind?","14","11","0.79"
"What is the average lifespan of a Golden Retriever?","Golden Retriever average lifespan?","10","5","0.5"
"Who became king of Holland in 1806?","1806 Holland king?","10","5","0.5"
"What is best Playstation or Xbox","What is best Playstation or Xbox","6","6","1.0"
"Who played Billy the Kid in The Left Handed Gun","The Left Handed Gun Billy the Kid actor?","11","10","0.91"
"why did Syd Barrett left the Pink Floyd?","Why did Syd Barrett leave Pink Floyd?","9","8","0.89"
"what is REST API","REST API?","4","3","0.75"
"What is underwriting?","What is underwriting?","4","4","1.0"
"Give me a list of some characteristics of a good coffee shop?","List some characteristics of a good coffee shop?","13","9","0.69"
"Please summarize what Linkedin does.","Please summarize what Linkedin does.","6","6","1.0"
"Who saved Andromeda from the sea monster","Who saved Andromeda from the sea monster","9","9","1.0"
"How can I contribute to Spark?","How to contribute to Spark?","7","6","0.86"
"Who are ''The Lumières"" ?","Who are The Lumières?","8","6","0.75"
"Using examples taken from the text give me a summary of the main arguments in favour of slavery reparations in the United States and the anticipated cost of enacting such reparations","From the text, summarize main arguments for U.S. slavery reparations and the estimated cost, using examples.","34","22","0.65"
"When was the wheel invented?","Wheel invention date?","6","4","0.67"
"write a scene between two actors discussing movie Inception","Write scene between two actors discussing Inception.","10","9","0.9"
"Did dinosaurs have lips?","Did dinosaurs have lips?","5","5","1.0"
"Are lilies safe for cats?","Are lilies safe for cats?","6","6","1.0"
"What is Sunshine Recession?","Sunshine Recession?","6","5","0.83"
