original,original_token_count,compressed,compressed_token_count
What are some ways I could commute in to my office in downtown?,14,Commute options to my downtown office,8
What are the characteristics of chihuahuas?,15,Chihuahua characteristics?,9
Extract the most visited countries in Africa and list them using bullets in the format {Country} - {International tourist arrivals (2019)},33,List Africa's most visited countries as bullets in format {Country} - {International tourist arrivals (2019)},29
"I'm really good at maths but not great at science, which of the following educational courses would I be more likely to succeed with? algebra, biology, matrices, probability, statistics, geology, and chemistry.",49,"Math-strong, science-weak. Which of these courses would I likely succeed in: algebra, matrices, probability, statistics, biology, geology, chemistry",37
According to the passage what is the best way of making progress with mathematics?,15,"From passage, what's best way to make progress in mathematics",13
"Which of these fruits, apple, strawberry, tomato, orange, cherry, grape; would be a poor choice to end a line in a song lyric with?",37,"Which of apple, strawberry, tomato, orange, cherry, grape would be poor ending word for song lyric",23
"Without quoting from the text, can you summarise from wikipedia who Denis-Benjamin Viger was?",29,"Summarise Denis-Benjamin Viger from Wikipedia, without quotes",18
"From the given text, list some of the accomplishments of pitcher Mariano Rivera in his baseball career, in a comma-separated list.",36,"From given text, list some of pitcher Mariano Rivera's baseball career accomplishments, in comma-separated list",30
what are the rules of cricket ?,8,Cricket rules?,3
What is the biggest dog breed in the world?,10,Largest dog breed in world,7
In which country is Jean Marie Ralph Féthière a politician?,15,Country where Jean Marie Ralph Féthière is politician,11
Who are the last three french presidents ?,10,Last 3 French presidents,5
Who is the greatest male tennis player of all time?,11,Greatest male tennis player of all time,8
Can you give me 6 popular types of pets?,10,List 6 popular pet types,5
"Extract the most famous research of Mary Campbell Dawbarn, and put them in a list.",21,List Mary Campbell Dawbarn's most famous research works,13
Who wrote the poker mindset,5,Who wrote poker mindset,4
How much wood would a woodchuck chuck if a woodchuck could chuck wood?,21,How much wood would woodchuck chuck if it could chuck wood,15
Why do I not feel good after consuming a lot of chocolates?,16,Why do I feel bad after eating lots of chocolate,10
Write a movie script about a dystopian past where intelligent machines have evolved to fight against humanity. A younger human challenges the ways of the elders and transforms into a cyborg to fight the machines.,47,Movie script: dystopian past where intelligent machines evolved to fight humanity; young human challenges elders' ways and becomes cyborg to fight machines,31
Who are some students at Hogwarts in Gryffindor house that were in the same year as Harry Potter?,27,Gryffindor students in Harry Potter's year at Hogwarts,18
"Which Philip K. Dick novel was the basis for the movie ""Blade Runner""?",19,Which PKD novel is Blade Runner based on,12
Who was Christopher Columbus?,5,Christopher Columbus?,3
When was the attack on Pearl Harbor,7,Pearl Harbor attack date,4
Why is sleep training your baby important?,8,Why is sleep training your baby important,7
Is Python or Java a better programming language?,11,Python vs Java: which is better,9
"If I give you a list of weapons, can you break them into melee and ranged. The list is knife, bow, axe, shotgun, mace, whip, rifle and cannon.",45,"Sort into melee vs ranged: knife, bow, axe, shotgun, mace, whip, rifle, cannon",30
Correct the typos in these sentences,7,Correct typos in these sentences,6
"Identify which instrument is string or woodwind: Catalan shawm, Tres",19,"String or woodwind: Catalan shawm, Tres",14
What is Ultimate Frisbee?,8,Define Ultimate Frisbee.,8
"What is ""A Song of Ice and Fire""?",11,What is Song of Ice and Fire,7
What is the Mahatma Gandhi Marg (Allahabad)?,16,What is Mahatma Gandhi Marg (Allahabad),14
Where is New Hampshire?,5,New Hampshire location?,4
What are the official official forms of written Norwegian?,10,Official written Norwegian forms,4
Is Slovenia a nice place to take a food fueled vacation?,16,Is Slovenia good destination for food-focused vacation,10
What is a Goldendoodle?,8,Goldendoodle definition?,5
What are different channels of communication to push information out to a sales organization?,16,What channels disseminate information to sales organization,11
How many people of Egypt do not live in urban areas,11,What is Egypt's rural population,7
Who is the Avatar? And what was he trying to accomplish?,16,Who is Avatar and what was he trying to accomplish,13
Who are the longest running cast members on Saturday Night Live?,12,Who are SNL's longest-running cast members,11
Did you know the Earth is flat?,8,Did you know Earth is flat,6
Are seed oils bad for you?,7,Seed oils bad for you,5
"Based on the provided information, when will we achieve AGI?",13,"Based on provided information, when will we achieve AGI",11
Which first indian movie won oscars and what category,14,Which first indian movie won oscars and what category,14
Which one is best for youtube creator gorpro or DJI Osmo pocket 2,20,Best for YouTube creator: gorpro or DJI Osmo Pocket 2,17
Where is the first Summer Olympics held?,8,First Summer Olympics location,4
