original,original_token_count,compressed,compressed_token_count
When did Virgin Australia start operating?,7,When did Virgin Australia start operating,6
Which is a species of fish? Tope or Rope,13,Which is species of fish? Tope or Rope,11
Why can camels survive for long without water?,11,Why can camels survive long without water,9
"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",26,"Alice's parents have three daughters: Amy, Jessy, who is third",18
When was Tomoaki Komorida born?,11,When was Tomoaki Komorida born,10
"If I have more pieces at the time of stalemate, have I won?",18,"If I have more pieces at stalemate, do I win",14
"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",26,"From Lollapalooza reference text: where held, who started, what is it",18
Who gave the UN the land in NY to build their HQ,13,Who donated land for UN HQ in NYC,9
Why mobile is bad for human,6,Why mobile harms humans,5
Who was John Moses Browning?,7,Who was John Moses Browning,6
Who is Thomas Jefferson?,5,Who is Thomas Jefferson,4
Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,22,Against whom did Kyle Van Zyl score 36 of his team's 61 points,19
From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,34,"From passage, list areas where Dar es Salaam is Tanzania's most prominent city, comma-separated",29
What is a polygon?,7,Define polygon,4
How do I start running?,6,How to start running,4
Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,16,Which Season 4 GOT episodes did Michelle MacLaren direct,12
What is process mining?,5,Process mining,2
What are some unique curtain tie backs that you can make yourself?,14,Unique DIY curtain tie backs,6
What is a dispersive prism?,10,Dispersive prism definition,6
"Identify which instrument is string or percussion: Cantaro, Gudok",17,"Cantaro, Gudok: string or percussion",12
Give me the top 5 golf equipment company names.,10,Top 5 golf-equipment company names,9
What individual has won the most Olympic gold medals in the history of the games?,17,Who has most Olympic gold medals in Olympic history,10
Which Dutch artist painted “Girl with a Pearl Earring”?,18,Which Dutch artist painted “Girl with Pearl Earring”,15
What happens when the sun goes down?,8,What happens at sunset,4
What is a verb?,6,Verb,1
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,33,Owner of Lamborghini; list Huracan variants produced for Lamborghini Motorsport,20
